	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_766	1	0	0	0.003370369	0.000931966	0
OTU_769	3	0	0	0.024782421	0.001101322	1
OTU_771	4	0	0	0.006179365	0.000938967	1
OTU_774	1	0	0	0.005158097	0.000931966	0
OTU_776	20	10.80895909	546	0.225587832	0.001234568	0.742105263
OTU_784	11	6.118384639	245	0.039119775	0.001113586	0.8
OTU_787	2	0	0	0.004948911	0.00094162	1
OTU_788	76	162.0088651	10749	0.82338007	0.001371742	0.643157895
OTU_803	12	4.087908088	103	0.032116336	0.001054852	0.803030303
OTU_808	13	10.8815191	229	0.031004143	0.001123596	0.743589744
OTU_812	38	279.6658478	11381	0.066182756	0.00124533	0.485064011
OTU_815	70	189.3034616	8249	0.780617101	0.001386963	0.672877847
OTU_816	2	0	0	0.008817602	0.000983284	1
OTU_820	45	694.2488958	18063	0.197406447	0.00129199	0.424242424
OTU_824	5	0	0	0.071065752	0.001022495	1
OTU_825	37	1.887783668	217	0.488874034	0.001135074	0.966966967
OTU_832	1	0	0	0.001819056	0.000894454	0
OTU_833	19	38.71193508	973	0.048925863	0.001182033	0.760233918
OTU_835	49	314.1758256	10777	0.145553758	0.00122399	0.583333333
OTU_840	11	10.73445276	332	0.028614272	0.001066098	0.872727273
OTU_841	26	209.8540056	3999	0.067872041	0.001189061	0.713846154
OTU_853	4	0	0	0.005898807	0.000934579	1
OTU_855	21	20.46316452	831	0.252738125	0.00124533	0.728571429
OTU_856	1	0	0	0.009524196	0.000911577	0
OTU_885	26	3.621465666	171	0.102878319	0.001144165	0.932307692
OTU_886	4	0	0	0.004959675	0.000905797	1
OTU_892	86	309.881607	17022	0.879420279	0.001424501	0.556771546
OTU_894	81	430.6191255	14639	0.843309557	0.001414427	0.584567901
OTU_895	4	0	0	0.005424529	0.000935454	1
OTU_899	1	0	0	0.014823138	0.001015228	0
OTU_901	4	0.712634541	14	0.021993631	0.001012146	0.666666667
OTU_925	8	1.146521127	66	0.018949028	0.001015228	0.964285714
OTU_929	10	0	0	0.150450541	0.001039501	1
OTU_932	1	0	0	0.000455952	0.000798085	0
OTU_936	24	48.8461803	1831	0.035488456	0.00116144	0.713768116
OTU_948	2	0	0	0.002328709	0.000881834	1
OTU_973	8	0	0	0.028368638	0.000998004	1
OTU_974	3	0	0	0.006058761	0.000960615	1
OTU_977	2	0	0	0.029332006	0.001040583	1
OTU_981	7	1.732799903	36	0.022799883	0.001075269	0.80952381
OTU_982	1	0	0	0.013447241	0.000953289	0
OTU_987	68	509.9757701	24681	0.591615732	0.001355014	0.498244074
OTU_995	8	4.223567463	128	0.01541684	0.001055966	0.785714286
OTU_1032	5	0	0	0.022174912	0.000985222	1
OTU_1037	18	1.912453995	140	0.070362531	0.001129944	0.954248366
OTU_1052	53	220.2138529	8786	0.155895379	0.001233046	0.547895501
OTU_1057	20	32.96827034	1259	0.062147662	0.001239157	0.731578947
OTU_1059	19	14.78447042	321	0.046929754	0.001117318	0.783625731
OTU_1069	25	23.47510005	559	0.088457042	0.001150748	0.846666667
OTU_1072	47	124.1229256	5332	0.132771939	0.001213592	0.613320999
OTU_1076	3	0	0	0.006470524	0.000962464	1
OTU_1100	2	0	0	0.005649057	0.000918274	1
OTU_1113	10	0	0	0.143562085	0.001037344	1
OTU_1128	26	26.4023571	1061	0.128239408	0.00120919	0.763076923
OTU_1133	3	0	0	0.003079872	0.000882613	1
OTU_1134	3	0	0	0.005648178	0.000940734	1
OTU_1141	5	0	0	0.070695769	0.001015228	1
OTU_1168	30	37.47464531	1784	0.08286688	0.001132503	0.786206897
OTU_1173	4	0.454918153	10	0.035121668	0.001091703	0.833333333
OTU_1180	10	357.113757	9174	0.032382781	0.001034126	0.688888889
OTU_1212	2	0	0	0.00388022	0.000931099	1
OTU_1215	4	6.48134471	131	0.007304225	0.00102145	0.333333333
